o:is_public,o:owner,dcterms:resource_class,o:resource_template,o:item_set,dcterms:title,dcterms:description,dcterms:issued,dcterms:language,dcterms:coverage,dcterms:type,dcterms:isPartOf,dcterms:identifier,media:link,dcterms:references
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,April's 25th,Armed forces movement. Series of three,1974,Portuguese,Portugal,Mint,122,08/07/03,8.7.3.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,The Dove in The Rainbow,Art by Pablo Picasso,1981,French;Arabic,Comoros,Mint,122,08/07/04,8.7.4.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,United Nations: DOVE,UNO United Nations,1976,English,New York,Mint,122,08/07/05,8.7.5.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,25th Anniversary UN,"UN (United Nations), 25th Anniversary",1970,English,Trinidad and Tobago,Mint,122,08/07/06,8.7.6.jpg;8.7.7.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,The Building Of Noah's Ark,Art by Guido Reni,1998,English,Sierra Leone,Mint,123,08/10/01,8.10.1.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,500TH Birth Anniversary of Raphael,Construction of the Ark. Series of four.,1983,English;Spanish,Grenada,Mint,123,08/10/02,8.10.2.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Peace in Europe ,,1985,English,Guernsey,Mint,127,08/17/01,8.17.1.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,United Nations: DOVE,to Unite Our Strength.  UN - New York,1976,English,New York,Mint,127,08/17/02,8.17.2.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,World meeting of Peace Builders,Warsaw,1977,Polish,Poland,Mint,127,08/17/03,8.17.3.jpg,Warsaw
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Happy Holidays - Peace,Design by Asher Kalderon,1976,Hebrew;English;Arabic,Israel,Mint,127,08/17/04,8.17.4.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Revenue,Symbols Of Peace And Industry,1946,English,England,Mint,127,08/17/05,8.17.6.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Postage stamp: Deutsche Post,Sries of Four,1947,German,Germany,Mint,128,08/18/01,8.18.2.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Nippon,,1978,Japanese,Japan,Mint,129,08/20/01,8.20.1.jpg;8.20.3.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Arbor Day,Design by Asher Kalderon.  Series of three.,1975,Hebrew;English;Arabic,Israel,Mint,129,08/20/02,8.20.2.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Greece,World refugee,1960,Greek,Greece,Mint,129,08/20/03,8.20.4.jpg,Vietnam
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Peace in Vietnam,Symbol of peaceful Work,1973,Bulgarian,Bulgaria,Mint,129,08/20/04,8.20.5.jpg,Vietnam
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,150th anniversary of the U.S. Constitution,"The stamp showed Revolutionary War hero Gen. Tadeusz Kosciuszko, Thomas Paine and George Washington as well as a modern view of New York City",1938,Polish,Poland,Mint,129,08/20/05,8.20.6.jpg,United States
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Victory of the Allies Series - Peace,PAZ,1945,Portuguese,Brazil,Mint,129,08/20/06,8.20.7.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,United Nations Conference on Human Settlements,,1976,Spanish,Mexico,Mint,129,08/20/07,8.20.8.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Noah's dove from Jerash,Desinged by Otte Wallish,1950,Hebrew;English;Arabic,Israel,Mint,131,08/26/01,8.26.1.jpg;8.26.2.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,"The ""G"" Rate Make Up Stamp",,1994,English,United States,Mint,131,08/26/03,8.26.4.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,The first stamps issued by the new Republic of Armenia ,,1992,Armenian;English,Armenia,Mint,132,08/27/01,8.27.5.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,The first stamps issued by the new Republic of Armenia ,,1992,Armenian;English,Armenia,Mint,132,08/27/02,8.27.6.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,The first stamps issued by the new Republic of Armenia ,,1992,Armenian;English,Armenia,Mint,132,08/27/03,8.27.7.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,500 ruble stamp of the First Essayan issue,Ararat  Mountain,1921,Armenian,Armenia,Mint,133,08/28/01,8.28.3.jpg;8.28.5.jpg;8.28.7.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Armenia National Symbols,Ararat  Mountain,1921,Armenian,Armenia,Mint,133,08/28/02,8.28.2.jpg;8.28.4.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Armenia National Symbols,Ararat  Mountain,1922,Armenian,Armenia,Mint,133,08/28/03,8.28.6.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Mount Ararat,"Seris of 5 stamps prepared in 1920, but not issued for postal use, though some were used fiscally.",1920,Armenian,Armenia,Mint,134,08/29/01,8.29.3.jpg;8.29.7.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Mount Ararat,"Seris of 5 stamps prepared in 1920, but not issued for postal use, though some were used fiscally.",1920,Armenian,Armenia,Mint,134,08/29/02,8.29.1.jpg;8.29.8.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Mount Ararat,"Seris of 5 stamps prepared in 1920, but not issued for postal use, though some were used fiscally.",1920,Armenian,Armenia,Mint,134,08/29/03,8.29.5.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Mount Ararat,"Seris of 5 stamps prepared in 1920, but not issued for postal use, though some were used fiscally.",1920,Armenian,Armenia,Mint,134,08/29/04,8.29.6.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Armenia National Symbols,Ararat  Mountain,1922,Armenian,Armenia,Mint,134,08/29/05,8.29.2.jpg,
